StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_17,Process_14,2022-02-21T03:44:45+00:00,Press button in window,Firefox - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",2.0,Go to collaborative platform,Event_77,Press button in window
1,Recording_17,Process_14,2022-02-21T03:44:49+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Mozilla Firefox',firefox,Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",3.0,Go to collaborative platform,Event_77,firefoxPress button in window
2,Recording_17,Process_14,2022-02-21T03:44:53+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox',,,,,,,Populate text field in window
3,Recording_17,Process_14,2022-02-21T03:44:54+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",5.0,Go to collaborative platform,Event_77,Send keys
4,Recording_17,Process_14,2022-02-21T03:45:02+00:00,Click UI element in window,Hyperlink 'Office  ... office.com' in Window 'o365 - Google Search — Mozilla Firefox',firefox,o365 - Google Search — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'o365 - Google Search — Mozilla Firefox\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 77 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",6.0,Go to collaborative platform,Event_77,firefoxClick UI element in window
5,Recording_17,Process_14,2022-02-21T03:45:08+00:00,Click UI element in window,Hyperlink 'SharePoint' in Window 'Microsoft Office Home — Mozilla Firefox',firefox,Microsoft Office Home — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Hyperlink \\'SharePoint\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -7 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",8.0,Go to collaborative platform,Event_77,firefoxClick UI element in window
6,Recording_17,Process_14,2022-02-21T03:45:23+00:00,Click UI element in window,Hyperlink 'Project RoadMap' in Window 'SharePoint — Mozilla Firefox',firefox,SharePoint — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'SharePoint — Mozilla Firefox\\'']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -10 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",9.0,Go to collaborative platform,Event_77,firefoxClick UI element in window
7,Recording_17,Process_14,2022-02-21T03:45:27+00:00,Click UI element in window,Hyperlink 'Documents' in Window 'Project RoadMap - Home — Mozilla Firefox',firefox,Project RoadMap - Home — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Project RoadMap - Home — Mozilla Firefox\\'']['Hyperlink \\'Documents\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 57 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",10.0,Go to collaborative platform,Event_77,firefoxClick UI element in window
8,Recording_17,Process_14,2022-02-21T03:45:35+00:00,Press button in window,Button 'Show actions' in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Button \\'Show actions\\'']\n""]",11.0,Copy the link of document having Fire fighting mock drill agenda,Event_78,firefoxPress button in window
9,Recording_17,Process_14,2022-02-21T03:45:40+00:00,Select menu option in window,Menu Item 'Copy link' in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Menu Item \\'Copy link\\'']\n""]",12.0,Copy the link of document having Fire fighting mock drill agenda,Event_78,firefoxSelect menu option in window
10,Recording_17,Process_14,2022-02-21T03:45:47+00:00,Press button in window,Button 'Copy' in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Button \\'Copy\\'']\n""]",13.0,Copy the link of document having Fire fighting mock drill agenda,Event_78,firefoxPress button in window
11,Recording_17,Process_14,2022-02-21T03:45:51+00:00,Press button in window,Button 'Copy' 2 in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Button \\'Copy\\' 2']\n""]",14.0,Copy the link of document having Fire fighting mock drill agenda,Event_78,firefoxPress button in window
12,Recording_17,Process_14,2022-02-21T03:46:01+00:00,Press button in window,"System Clock, 09:15 AM, ‎21-‎02-‎2022 in System Tray",,,"[""UIAutomation.PressButton Button: appmask['System Tray']['System Clock, 09:15 AM, \u200e21-\u200e02-\u200e2022']\n""]",15.0,Verify the suitable date to conduct mock drill in coming week,Event_79,Press button in window
13,Recording_17,Process_14,2022-02-21T03:46:10+00:00,Click UI element in window,Data Item '25' in Window 'Date and Time Usernamermation',ShellExperienceHost,Date and Time Usernamermation,"[""UIAutomation.Click Element: appmask['Window \\'Date and Time Usernamermation\\'']['Data Item \\'25\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -5 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",16.0,Verify the suitable date to conduct mock drill in coming week,Event_79,ShellExperienceHostClick UI element in window
14,Recording_17,Process_14,2022-02-21T03:46:18+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",17.0,Go to the Approval app and create a approval request,Event_80,Press button in window
15,Recording_17,Process_14,2022-02-21T03:46:24+00:00,Press button in window,"Button 'Apps Toolbar' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Button \\'Apps Toolbar\\'']\n""]",18.0,Go to the Approval app and create a approval request,Event_80,TeamsPress button in window
16,Recording_17,Process_14,2022-02-21T03:46:36+00:00,Click UI element in window,"List Item 'Approvals store item' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['List Item \\'Approvals store item\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 140 OffsetY: 17 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",19.0,Go to the Approval app and create a approval request,Event_80,TeamsClick UI element in window
17,Recording_17,Process_14,2022-02-21T03:46:41+00:00,Press button in window,"Button 'Open' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Button \\'Open\\'']\n""]",20.0,Go to the Approval app and create a approval request,Event_80,TeamsPress button in window
18,Recording_17,Process_14,2022-02-21T03:46:51+00:00,Press button in window,"Button 'New approval request' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Button \\'New approval request\\'']\n""]",21.0,Go to the Approval app and create a approval request,Event_80,TeamsPress button in window
